RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopUID,StopID,StopName,StopBoarding,StopSequence,PositionLon,PositionLat,StationID,LocationCityCode,Dist_Cum,Dist_Intv
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302753,302753,浙江路口,0,5,121.149403,22.767152,138122,TTT,4262.080908,702.7595214
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302762,302762,台東森林公園,0,6,121.157473,22.762781,138131,TTT,5227.246556,965.1656483
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT295306,295306,富岡港口,-1,7,121.19274,22.79193,132564,TTT,9944.968138,4717.721582
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295306,295306,富岡港口,1,1,121.19274,22.79193,132564,TTT,0,NA
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295307,295307,小野柳,0,2,121.195486,22.795272,132565,TTT,950.2584527,950.2584527
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295304,295304,美娥餐廳,0,3,121.185068,22.791353,132562,TTT,2574.584215,1624.325762
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295301,295301,台東森林公園,0,4,121.158101,22.762915,132559,TTT,7239.836798,4665.252583
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT302763,302763,浙江路口,0,5,121.149874,22.767269,138132,TTT,8244.723196,1004.886398
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT302764,302764,寶桑國中,0,6,121.144751,22.771658,138133,TTT,8960.453578,715.7303816
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295299,295299,棒球場,0,7,121.127768,22.787946,132557,TTT,11592.27468,2631.821101
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT302748,302748,拖吊場,0,8,121.124715,22.790934,138118,TTT,12195.07733,602.8026526
TTT0982,982,陸海空線,TTT0982A2,0982A2,陸海空線A,1,TTT295300,295300,台東火車站,-1,9,121.123278,22.792928,132558,TTT,12509.63489,314.5575589
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT295300,295300,台東火車站,1,1,121.123278,22.792928,132558,TTT,0,NA
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302749,302749,拖吊場,0,2,121.124802,22.791078,138119,TTT,350.2640923,350.2640923
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT295299,295299,棒球場,0,3,121.127768,22.787946,132557,TTT,918.5892345,568.3251422
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302752,302752,寶桑國中,0,4,121.144854,22.771898,138121,TTT,3563.862698,2645.273463
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302753,302753,浙江路口,0,5,121.149403,22.767152,138122,TTT,4262.385498,698.5228005
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302762,302762,台東森林公園,0,6,121.157473,22.762781,138131,TTT,5227.551147,965.1656483
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302754,302754,天天來,0,7,121.153874,22.758685,138123,TTT,5850.238928,622.6877815
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302755,302755,吳外科,0,8,121.152168,22.756974,138124,TTT,6107.819504,257.5805755
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT302778,302778,中央市場,0,9,121.14977,22.7544,138145,TTT,6485.166319,377.3468156
TTT0982,982,陸海空線,TTT0982B1,0982B1,陸海空線B,0,TTT295308,295308,台東轉運站,-1,10,121.147423,22.752008,132566,TTT,7007.392329,522.2260099
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT295308,295308,台東轉運站,1,1,121.147423,22.752008,132566,TTT,0,NA
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT302779,302779,中央市場,0,2,121.14973,22.75457,138146,TTT,889.0781957,889.0781957
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT302760,302760,吳外科,0,3,121.152255,22.756899,138129,TTT,1250.79777,361.7195747
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT302761,302761,天天來,0,4,121.15382,22.758495,138130,TTT,1488.744522,237.9467514
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT295301,295301,台東森林公園,0,5,121.158101,22.762915,132559,TTT,2147.698201,658.9536793
TTT0982,982,陸海空線,TTT0982B2,0982B2,陸海空線B,1,TTT302763,302763,浙江路口,0,6,121.149874,22.767269,138132,TTT,3152.584599,1004.886398
